"Agency Name:","County of Court","Submitted","Nature of the investigation","Order Served on","Business Name","Items to be searched for:","Start Date for Info","End Date for Info","Grounds for Issuance","Reasons for Delay (if any)","Emergency?","Facts giving rise to the emergency"
"Ventura County Sheriff's Office","Ventura","01/03/2017 - 07:42","245(a)(1) PC ","Business","AT&T Wireless","Basic subscriber information from a service provider
Other transactional and account records from a service provider
","2016-09-25","2016-09-25","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"DHS-ICE-Homeland Security Investigations","San Diego","01/03/2017 - 11:40","This is a child pornography/exploitation investigation which was initiated upon receipt of a National Center for Missing and Exploited Children (NCMEC) CyberTipline report related to the Facebook account referenced in search warrant 52720.","Business","Facebook","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-01-01","2016-09-08","tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring"," ","No"," "
"DHS-ICE-Homeland Security Investigations","San Diego","01/03/2017 - 12:04","This child pornography/exploitation investigation was initiated upon receipt of a National Center for Missing and Exploited Children (NCMEC) CyberTipline report regarding a target Google email account referenced in the attached search warrant. ","Business","Google","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2015-05-27","2016-09-08","tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring"," ","No"," "
"Sacramento Sheriff's Department","Sacramento","01/03/2017 - 15:41","Homicide per PC 187","Device Only"," ","Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2015-01-19","2016-12-29","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Upland Police Department","San Bernardino","01/03/2017 - 19:21","On 091816, at approximately 0435 hrs, two commercial burglaries were committed to two different restaurants in Upland. I learned that these two crimes were done by the same suspects. One of the suspects left behind a cell phone when he was spooked by a security guard at the second burglary. ","Device Only"," ","Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-09-11","2016-09-18","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
","No"," "
"Upland Police Department","San Bernardino","01/04/2017 - 08:50","On 112616, at approximately 0200 hrs, an unknown suspect broke into an occupied hotel room in Upland. The victim woke up as the suspect was going out the window. The suspect took a bag of medication and supplies. The suspect left behind a cell phone. ","Device Only"," ","Communications (email, text, voice mail, or other communication)","2016-11-25","2016-11-27","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
","No"," "
"REACT","Santa Clara","01/04/2017 - 09:25","The warrant was issued as part of an identity theft investigation conducted by the Regional Allied Computer Team (REACT).
","Business","T-Mobile, Inc.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
","2016-05-13","2017-01-03","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"REACT","Santa Clara","01/04/2017 - 09:39","The warrant was issued as part of an identity theft investigation conducted by the Regional Allied Computer Team (REACT).","Business","AT&T Wireless","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Communications (email, text, voice mail, or other communication)
","2016-05-13","2017-01-03","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Angeles Police Dept","Los Angeles","01/04/2017 - 10:11","Active bomb threat via Tip line. ","Business","LeaseWebUSA","Basic subscriber information from a service provider
Other transactional and account records from a service provider
","2017-01-02","2017-01-03","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","otherwise seriously jeopardize an investigation or unduly delay a trial","Yes","Bomb threat indicated the device would explode in 45 minutes."
"California Highway Patrol","Santa Clara","01/04/2017 - 12:44","Records or information concerning your electronic communication and/or information held by the entity named in
the search warrant were sought by the Regional Enforcement Allied Computer Team pursuant to a 
search warrant issued on 01/04/2017 in Santa Clara County.
These records were requested for a criminal investigation pertaining grand theft by false pretense that occurred within
Santa Clara County during a period of time in 2016.
These records sought involve subscriber information, financial/billing records, location data, electronic communication,
stored data,
connection logs, and transaction records, with my searching for records that specifically relate to the above mentioned
investigation.","Business","Ebay Verizon","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
","2016-02-02","2016-06-30","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
