,Agency Name:,County of Court,Submitted,Nature of the investigation,Order Served on,Business Name,Items to be searched for:,Start Date for Info,End Date for Info,Grounds for Issuance,Reasons for Delay (if any),Emergency?,Facts giving rise to the emergency
9,California Highway Patrol,Santa Clara,01/04/2017 - 12:44,"Records or information concerning your electronic communication and/or information held by the entity named in
the search warrant were sought by the Regional Enforcement Allied Computer Team pursuant to a 
search warrant issued on 01/04/2017 in Santa Clara County.
These records were requested for a criminal investigation pertaining grand theft by false pretense that occurred within
Santa Clara County during a period of time in 2016.
These records sought involve subscriber information, financial/billing records, location data, electronic communication,
stored data,
connection logs, and transaction records, with my searching for records that specifically relate to the above mentioned
investigation.",Business,Ebay Verizon,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2016-02-02,2016-06-30,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
10,L.A. IMPACT,Los Angeles,01/04/2017 - 15:58,Narcotics Information,Device Only, ,Location information,2016-09-06,2016-10-06,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
11,Riverside County Sheriff Department ,Riverside,01/04/2017 - 17:54,Burglary investigation,Business,Facebook,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-10-05,2016-11-01,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
12,los altos pd ,Santa Clara,01/05/2017 - 09:40,"530.5 PC, 459 PC ",Business,Cricket Wireless ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2016-12-27,2017-01-01,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
13,Beaumont Police Department,Riverside,01/05/2017 - 09:54,211PC investigation,Device Only, ,"Basic subscriber information from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2016-11-29,2016-12-28,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
14,Los Angeles Police Department,Los Angeles,01/05/2017 - 13:09,Murder Investigation,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-08-01,2016-08-26,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, 
15,Los Angeles Police Department,Los Angeles,01/05/2017 - 14:04,Murder Investigation,"Business
Device Only
","T-Mobile, AT&T, Verizon, Facebook, Instagram","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-01-01,2016-08-26,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
16,Los Angeles Police Department,Los Angeles,01/05/2017 - 14:11,Murder Investigation,"Business
Device Only
","T-Mobile, AT&T, Verizon","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-01-01,2016-10-28,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
17,Los Angeles Police Department,Los Angeles,01/05/2017 - 15:40,Murder Investigation,"Business
Device Only
","T-Mobile, Sprint","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-01-01,2016-10-28,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
18,Los Angeles Police Department,Los Angeles,01/05/2017 - 15:46,Murder Investigation,Business,Sprint,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-01-01,2016-10-19,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
19,Auburn Police Department,Placer,01/06/2017 - 09:32,"Students at E.V Cain Middle School in Auburn CA and be messaged via Instant Messenger on the social media site called Instagram by an unknown person calling themselves the.c.c.c_. Per the message, the unknown person claimed they were a clown and they were coming to the school and kill you unless they passed the message onto 10 other people. The students took this as a credible threat and notified law enforcement. Based on this information a search warrant was issued to find the owner of the account and file charges for ca penal code 422.",Business,Wave Broadband and Verizon Wireless,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-07-31,2016-10-06,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
20,Long Beach Police Department,Los Angeles,01/06/2017 - 15:37,Attempt to arrest Ricardo Barron for a felony warrant,Business,T-Mobile,"Basic subscriber information from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2016-12-05,2016-12-31,there is a warrant to arrest a person,otherwise seriously jeopardize an investigation or unduly delay a trial,No, 
21,LA IMPACT,Los Angeles,01/09/2017 - 14:09,Sales of Narcotics.,Device Only, ,Location information,2016-09-26,2016-10-26,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
",otherwise seriously jeopardize an investigation or unduly delay a trial,No, 
22,Kingsburg Police Department ,Fresno,01/09/2017 - 14:14,"On 04/04/2016 at 0923 hours, Brian Price contacted Officer Eric Vasquez of the Kingsburg Police Department, to report his identity had been compromised by an unknown person trying to obtain an Amazon.Com Visa Signature Card under his contact information. Price also told Vasquez he received notification by several Fresno and Clovis businesses, that attempts to purchase goods through mail order credit lines had also been discovered using Prices’ contact information. Price told Vasquez that he had never used the assumed names given under each transaction, and had not incurred any physical liability that he knew of, but took immediate measures to notify credit bureaus that his identity had been compromised. 

I received the case on 12/01/2016, and began investigating the matter further. I was able to make contact with Jake De La Cerda, who worked for the Fraud Application Department of JP Morgan Chase & Co. (Bank that sponsors Amazon.Com Visa Card Lines of Credit), who provided me with information about a possible suspect(s) who initiated the line of credit utilizing Price’s personal information. De La Cerda provided me with the date, time, credit card application reference number, email address, and technology based IP address of where the transaction was completed. De La Cerda emailed me a copy of the information, which I used to locate the internet provider information. 

I learned Comcast Cable Communications Inc. was the internet provider and owner/operator for IP address 50.143.226.197, used on the dates and times (03/17/2016 at 18:26 EST) the suspect(s) tried to obtain the line of credit. I obtained Comcast’s information through a web based company that specializes in gathering IP registration information. I used the information to contact Comcast Security Breach Operations Member, Tom Stevens who informed me he would be able to assist me with the information I was seeking from the IP address, after I provided him with a validated search warrant. Stevens also informed me that the information would take approximately 30 days to gather. 


Your Affiant subsequently initiated a search in the American Registry for Internet Numbers (ARIN) and revealed the IP address 50.143.226.197 is owned by internet service provider, Comcast Cable Communications Inc.  Your Affiant believes that Comcast Cable Inc.  will have subscriber information pertaining to the identity of the suspect(s) who used IP address; 50.143.226.197, utilized on 03/17/2016 at 18:26 EST to try and obtain a line of credit using the victims personal identifying information and have the mailed to the victims house, located on 1350 Kamm Ave. Kingsburg, CA 93631.

Based on my training and experience, I believe the requested information is being held by all carriers listed in Attachment B. This information is relevant to an investigation concerning the offense of identity theft. 

Your Affiant has reasonable cause to believe that grounds for the issuance of a search warrant exist, as set forth in Section 1524 of the Penal Code of the State of California, based upon the aforementioned information, facts and circumstances.  Furthermore, based on my experience with wireless communication companies, information related to accounts and electronic communications may take some time to retrieve.  Because of this, it is requested that a 30-day extension on the search warrant return be authorized.

IT IS HEREBY ORDERED, based upon the showing in the Statement of Probable Cause / Affidavit by your Affiant (David Pugliese), that it reasonably appears necessary to extend the time for Return to Search Warrant for 30 days to January 22, 2017.
",Business,Comcast Cable Communications Inc.,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Communications (email, text, voice mail, or other communication)
",2016-03-17,2016-03-17,"was stolen or embezzled
was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
24,San Jose Police Department,Santa Clara,01/10/2017 - 09:42,Homicide Investigation.,Business,Facebook,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2015-11-01,2016-01-31,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
25,San Jose Police Department,Santa Clara,01/10/2017 - 09:46,Homicide Investigation,Device Only, ,"Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2015-08-01,2016-01-31,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
26,San Jose Police Department,Santa Clara,01/10/2017 - 09:49,Homicide investigation.,Device Only, ,"Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2015-08-01,2016-01-31,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
27,L.A. IMPACT,Los Angeles,01/10/2017 - 11:40,Narcotics Investigation,Device Only, ,Location information,2016-10-12,2016-11-11,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
28,San Jose Police Department,Santa Clara,01/10/2017 - 13:55,Homicide Investigation.,Business,Facebook,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-01-01,2016-09-22,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
",No, 
30,Sacramento County Sheriff's Department,Sacramento,01/10/2017 - 16:11,Officer involved shooting incident.  Search warrant related to phone records of suspect.,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-11-01,2016-11-25,was used as the means of committing a felony, ,No, 
31,DEA,Los Angeles,01/10/2017 - 16:32,Narcotics related,Device Only, ,Location information,2016-10-13,2016-10-23,"is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
32,Irvine PD,Orange,01/10/2017 - 18:41,Investigation of CPC 288,Business,AirMedia,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2015-08-01,2016-12-20,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,No, 
33,Irvine PD,Orange,01/10/2017 - 18:42,Investigation of CPC 288,Business,AirMedia,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2015-08-01,2017-01-03,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
34,Beaumont Police Department,Riverside,01/10/2017 - 19:16,211 PC investigation.,Device Only, ,Location information,2017-01-04,2017-01-09,A flight from prosecution.,"lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
35,Sacramento Police,Sacramento,01/11/2017 - 08:28,Homicide,Device Only, ,"Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-01-01,2016-10-13,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
36,Los Angeles County Sheriff,Los Angeles,01/11/2017 - 08:29,Identity Theft,Business,T-Mobile,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2016-10-01,2016-11-14,"tends to show that a felony has been committed or that a particular person has committed a felony
A warrant for a suspect's arrest 
","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
